transaction_id,items
1,"groceries,cleaning_supplies,home_decor"
2,"groceries,cleaning_supplies,home_decor"
3,"groceries,cleaning_supplies,home_decor"
4,"groceries,cleaning_supplies,home_decor"
5,"groceries,cleaning_supplies,home_decor"
6,"groceries,cleaning_supplies,home_decor"
7,"groceries,cleaning_supplies,home_decor"
8,"groceries,cleaning_supplies,home_decor"
9,"groceries,cleaning_supplies,home_decor"
10,"groceries,cleaning_supplies,home_decor"
11,"groceries,cleaning_supplies,home_decor"
12,"groceries,cleaning_supplies,home_decor"
13,"groceries,cleaning_supplies,home_decor"
14,"groceries,cleaning_supplies,home_decor"
15,"groceries,cleaning_supplies,home_decor"
16,"groceries,cleaning_supplies,home_decor"
17,"groceries,cleaning_supplies,home_decor"
18,"clothing,baby_products,pharmacy"
19,"clothing,baby_products,pharmacy"
20,"clothing,baby_products,pharmacy"
21,"clothing,baby_products,pharmacy"
22,"clothing,baby_products,pharmacy"
23,"clothing,baby_products,pharmacy"
24,"clothing,baby_products,pharmacy"
25,"clothing,baby_products,pharmacy"
26,"clothing,baby_products,pharmacy"
27,"clothing,baby_products,pharmacy"
28,"clothing,baby_products,pharmacy"
29,"clothing,baby_products,pharmacy"
30,"clothing,baby_products,pharmacy"
31,"clothing,baby_products,pharmacy"
32,"clothing,baby_products,pharmacy"
33,"clothing,baby_products,pharmacy"
34,"clothing,baby_products,pharmacy"
35,"groceries,home_decor,clothing"
36,"groceries,home_decor,clothing"
37,"groceries,home_decor,clothing"
38,"groceries,home_decor,clothing"
39,"groceries,home_decor,clothing"
40,"groceries,home_decor,clothing"
41,"groceries,home_decor,clothing"
42,"groceries,home_decor,clothing"
43,"groceries,home_decor,clothing"
44,"groceries,home_decor,clothing"
45,"groceries,home_decor,clothing"
46,"groceries,home_decor,clothing"
47,"groceries,home_decor,clothing"
48,"groceries,home_decor,clothing"
49,"groceries,home_decor,clothing"
50,"groceries,home_decor,clothing"
